locationGroup,locationTier1,locationTier2,locationTier3,locationTier4,locationTier5
TLAC Office,Cat,TLAC,Davenport,Facilities Office (108),
TLAC Office,Cat,TLAC,Davenport,Operations Office (102),
TLAC Office,Cat,TLAC,Davenport,Placement Office (97),
TLAC Office,Cat,TLAC,Davenport,Volunteer Team Office (107),
TLAC Office,Cat,TLAC,Ellen's Office,,
TLAC Office,Cat,TLAC,Faith's office,,
Cat - FeLV,Cat,TLAC,FeLV Adoption Center,,
Cat - FeLV,Cat,TLAC,FeLV Adoption Center,FeLV Condo,
Cat - FeLV,Cat,TLAC,FeLV Adoption Center,FeLV Gen Pop,
Cat - FeLV,Cat,TLAC,FeLV Sanctuary,,
Cat - Feral,Cat,TLAC,Feral Enclosure - ISO,,
Cat - Feral,Cat,TLAC,Feral Enclosure - Large,,
Cat - Feral,Cat,TLAC,Feral Enclosure - Medium,,
Cat - Feral,Cat,TLAC,Feral Enclosure - Small,,
Cat - Feral,Cat,TLAC,Feral Enclosure - Unknown,,
TLAC Office,Cat,TLAC,Finance and Operations Office,,
Cat - TLAC ISO,Cat,TLAC,ISO Calici,,
Cat - TLAC ISO,Cat,TLAC,ISO Room A,,
Cat - TLAC ISO,Cat,TLAC,ISO Room B,,
Cat - TLAC ISO,Cat,TLAC,ISO Room C,,
Cat - TLAC ISO,Cat,TLAC,ISO Storage,,
TLAC Office,Cat,TLAC,Large Conference Room,,
TLAC Office,Cat,TLAC,MOD Office,,
TLAC Office,Cat,TLAC,MOD Office - Cat,,
TLAC Office,Cat,TLAC,Maddie's Fund Office,,
TLAC Office,Cat,TLAC,Mar-Com Office,,
Clinic,Cat,TLAC,Medical Suite,,
Clinic,Cat,TLAC,Medical Suite (Clinic),,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Cage 1,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Cage 2,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Cage 3,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Cage 4,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Cage 5,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Cage 6,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Panleuk waiting to be assigned,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Popup,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Wire Crate,
Cat - RW,Cat,TLAC,RW Ward,,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,M&G Room,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,Room 1,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,Room 2,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,Room 3,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,Row 1,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,Row 2,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,Row 3,
TLAC Office,Cat,TLAC,Small Conference Room,,
Cat - TLAC,Cat,TLAC,TLAC Community Cats,,
TLAC Office,Cat,TLAC,Volunteer Coordinator Office,,
,Dog,,,,
Dog - Offsite,Dog,A Crate Escape,,,
Dog - Offsite,Dog,Apache Pass Dog Vacation Home,,,
BQ - AAC,Dog,BQ at AAC,,,
BQ - Other,Dog,BQ at Westlake Animal Hospital,,,
Dog - Foster,Dog,Foster Home,,,
Dog - Offsite,Dog,Off Site,41st Street Petco,,
Dog - Offsite,Dog,Off Site,Bee Caves Petco,,
Dog - Offsite,Dog,Off Site,On a sleepover! Please email adopt@austinpetsalive.org to inquire,,
Dog - Offsite,Dog,Off Site,Special Event - please email adopt@austinpetsalive.org to inquire,,
Dog - Offsite,Dog,Other Shelter,Final Frontier,,
Dog - Offsite,Dog,Other Shelter,Luling AWS,,
Dog - Offsite,Dog,Other Shelter,Rescue Friends Ranch,,
Dog - Offsite,Dog,Shady Acres,,,
Dog - TLAC,Dog,TLAC,,,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 01,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 02,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 03,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 04,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 05,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 06,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 07,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 08,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 09,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 10,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 11,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 12,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 13,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 14,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 15,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 16,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 17,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 18,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 19,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 20,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 21,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 22,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 23,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 24,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 25,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 26,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 27,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 28,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 29,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 30,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 31,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 32,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 33,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 34,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 35,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 36,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 37,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 38,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 39,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 40,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 41,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 42,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 43,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 44,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 45,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 46,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 47,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 48,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 49,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 50,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 51,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 52,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 53,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 54,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 55,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 56,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 57,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 58,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 59,
Dog - TLAC Kennel,Dog,TLAC,AAC Building,Kennel 60,
TLAC Office,Dog,TLAC,Accounting Staff Office,,
,Dog,TLAC,Barn,,
TLAC Office,Dog,TLAC,Behavior Office,,
TLAC Office,Dog,TLAC,Behavior Office - Back,,
TLAC Office,Dog,TLAC,Behavior Office - Front,,
Dog - TLAC Kennel,Dog,TLAC,Building 1,,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 101,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 102,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 103,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 104,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 105,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 106,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 107,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 108,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 109,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 110,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 111,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 112,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 113,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 114,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 115,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 116,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 117,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 118,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 119,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 120,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 121,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 122,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 123,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 124,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 125,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 126,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 127,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 128,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 129,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 130,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 131,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 132,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 133,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 134,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 135,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 136,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 137,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 138,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 139,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 140,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 141,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 142,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 143,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 144,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 145,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 146,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 147,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 148,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 149,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 150,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 151,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 152,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 153,
Dog - TLAC Kennel,Dog,TLAC,Building 1,Kennel 154,
Dog - TLAC Kennel,Dog,TLAC,Building 2,,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 164,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 165,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 166,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 167,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 168,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 169,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 170,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 171,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 172,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 173,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 174,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 175,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 176,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 177,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 178,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 179,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 180,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 181,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 182,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 183,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 184,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 185,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 186,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 187,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 188,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 189,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 190,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 191,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 192,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 193,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 194,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 195,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 196,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 197,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 198,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 199,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 200,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 201,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 202,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 203,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 204,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 205,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 206,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 207,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 208,
Dog - TLAC Kennel,Dog,TLAC,Building 2,Kennel 209,
Dog - TLAC Kennel,Dog,TLAC,Building 3,,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 210,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 211,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 212,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 213,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 214,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 215,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 216,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 217,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 218,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 219,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 220,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 221,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 222,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 223,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 224,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 225,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 226,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 227,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 228,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 229,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 230,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 231,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 232,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 233,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 234,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 235,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 236,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 237,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 238,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 239,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 240,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 241,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 242,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 243,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 244,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 245,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 246,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 247,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 248,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 249,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 250,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 251,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 252,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 253,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 254,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 255,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 256,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 257,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 258,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 259,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 260,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 261,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 262,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 263,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 264,
Dog - TLAC Kennel,Dog,TLAC,Building 3,Kennel 265,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 01,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 02,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 03,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 04,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 05,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 06,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 07,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 08,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 09,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 10,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 11,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 12,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 13,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 14,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 15,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 16,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 17,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 18,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 19,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 20,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 21,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 22,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 23,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 24,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 25,
