animalInternalID,volunteerCategory,dateStart,dateEnd
1198037,,2008-08-08 00:00:00,
1283025,,2017-01-24 00:00:00,
48239009,,2022-02-16 00:00:00,2022-02-16 00:00:00
55725637,,2022-08-08 00:00:00,2022-08-10 00:00:00
55797897,,2022-08-08 00:00:00,
55797857,,2022-08-08 00:00:00,
55797864,,2022-08-08 00:00:00,
55797833,,2022-08-08 00:00:00,
1198512,,2008-07-24 01:00:00,
1253879,,2011-11-16 01:00:00,
1406190,,2016-11-16 02:00:00,
1406185,,2016-11-16 02:00:00,
1406183,,2016-11-16 02:00:00,
1406177,,2016-11-16 02:00:00,
1413229,,2016-11-24 02:00:00,
1413227,,2016-11-24 02:00:00,
1413225,,2016-11-24 02:00:00,
1413223,,2016-11-24 02:00:00,
1413217,,2016-11-24 02:00:00,
1413215,,2016-11-24 02:00:00,
1426077,,2016-12-08 02:00:00,
1426071,,2016-12-08 02:00:00,
1426062,,2016-12-08 02:00:00,
1426060,,2016-12-08 02:00:00,
1426023,,2016-12-08 02:00:00,
1425988,,2016-12-08 02:00:00,
1425984,,2016-12-08 02:00:00,
1425900,,2016-12-08 02:00:00,
1439387,,2016-12-24 02:00:00,
1439096,,2016-12-24 02:00:00,
1470581,,2017-01-08 02:00:00,
1477699,,2017-01-16 02:00:00,
1477696,,2017-01-16 02:00:00,
1477692,,2017-01-16 02:00:00,
1477691,,2017-01-16 02:00:00,
1477690,,2017-01-16 02:00:00,
1477689,,2017-01-16 02:00:00,
1477677,,2017-01-16 02:00:00,
1477676,,2017-01-16 02:00:00,
1477675,,2017-01-16 02:00:00,
1477674,,2017-01-16 02:00:00,
1506757,,2017-02-16 02:00:00,
1506750,,2017-02-16 02:00:00,
1506740,,2017-02-16 02:00:00,
1506736,,2017-02-16 02:00:00,
1506725,,2017-02-16 02:00:00,
1506671,,2017-02-16 02:00:00,
1506634,,2017-02-16 02:00:00,
1506513,,2017-02-16 02:00:00,
1506395,,2017-02-16 02:00:00,
1513951,,2017-02-24 02:00:00,
1513946,,2017-02-24 02:00:00,
1513944,,2017-02-24 02:00:00,
1513939,,2017-02-24 02:00:00,
1513937,,2017-02-24 02:00:00,
1513935,,2017-02-24 02:00:00,
1513933,,2017-02-24 02:00:00,
1513930,,2017-02-24 02:00:00,
1513927,,2017-02-24 02:00:00,
1513923,,2017-02-24 02:00:00,
1513897,,2017-02-24 02:00:00,
1505023,,2017-02-24 02:00:00,
1553899,,2017-03-08 02:00:00,
1609943,,2017-03-16 02:00:00,
1609933,,2017-03-16 02:00:00,
1609911,,2017-03-16 02:00:00,
1618131,,2017-03-24 02:00:00,
1617808,,2017-03-24 02:00:00,
1617801,,2017-03-24 02:00:00,
1617723,,2017-03-24 02:00:00,
1617706,,2017-03-24 02:00:00,
1617657,,2017-03-24 02:00:00,
1617614,,2017-03-24 02:00:00,
1617555,,2017-03-24 02:00:00,
1617542,,2017-03-24 02:00:00,
1617522,,2017-03-24 02:00:00,
1519347,,2017-03-24 02:00:00,
1632388,,2017-04-08 02:00:00,
1632383,,2017-04-08 02:00:00,
1640220,,2017-04-16 02:00:00,
1651767,,2017-04-24 02:00:00,
1649499,,2017-04-24 02:00:00,
1649332,,2017-04-24 02:00:00,
1649273,,2017-04-24 02:00:00,
1649240,,2017-04-24 02:00:00,
1649214,,2017-04-24 02:00:00,
1648880,,2017-04-24 02:00:00,
1648877,,2017-04-24 02:00:00,
1648835,,2017-04-24 02:00:00,
1665965,,2017-05-08 02:00:00,
1665912,,2017-05-08 02:00:00,
1665670,,2017-05-08 02:00:00,
1665664,,2017-05-08 02:00:00,
1665648,,2017-05-08 02:00:00,
1665645,,2017-05-08 02:00:00,
1665588,,2017-05-08 02:00:00,
1691878,,2017-05-24 02:00:00,
1691479,,2017-05-24 02:00:00,
1691441,,2017-05-24 02:00:00,
1691437,,2017-05-24 02:00:00,
1691249,,2017-05-24 02:00:00,
1691237,,2017-05-24 02:00:00,
1691231,,2017-05-24 02:00:00,
1691223,,2017-05-24 02:00:00,
1691154,,2017-05-24 02:00:00,
1691114,,2017-05-24 02:00:00,
1710150,,2017-06-08 02:00:00,
1710144,,2017-06-08 02:00:00,
1710131,,2017-06-08 02:00:00,
1729520,,2017-06-16 02:00:00,
1729519,,2017-06-16 02:00:00,
1729518,,2017-06-16 02:00:00,
1729515,,2017-06-16 02:00:00,
1729098,,2017-06-16 02:00:00,
1728610,,2017-06-16 02:00:00,
1728599,,2017-06-16 02:00:00,
1728591,,2017-06-16 02:00:00,
1728581,,2017-06-16 02:00:00,
1728573,,2017-06-16 02:00:00,
1760016,,2017-06-24 02:00:00,
1777686,,2017-07-08 02:00:00,
1777652,,2017-07-08 02:00:00,
1776947,,2017-07-08 02:00:00,
1867864,,2017-08-08 02:00:00,
1867861,,2017-08-08 02:00:00,
1867361,,2017-08-08 02:00:00,
1867356,,2017-08-08 02:00:00,
1867353,,2017-08-08 02:00:00,
1867348,,2017-08-08 02:00:00,
1867345,,2017-08-08 02:00:00,
1867314,,2017-08-08 02:00:00,
1926791,,2017-08-16 02:00:00,
1926081,,2017-08-16 02:00:00,
1925961,,2017-08-16 02:00:00,
1964887,,2017-08-24 02:00:00,
1964871,,2017-08-24 02:00:00,
1964854,,2017-08-24 02:00:00,
1964223,,2017-08-24 02:00:00,
1964194,,2017-08-24 02:00:00,
2291838,,2017-09-08 02:00:00,
2278845,,2017-09-08 02:00:00,
2278844,,2017-09-08 02:00:00,
2278839,,2017-09-08 02:00:00,
2278834,,2017-09-08 02:00:00,
2278833,,2017-09-08 02:00:00,
2278831,,2017-09-08 02:00:00,
2278823,,2017-09-08 02:00:00,
2278820,,2017-09-08 02:00:00,
2278812,,2017-09-08 02:00:00,
2278811,,2017-09-08 02:00:00,
2278802,,2017-09-08 02:00:00,
2278745,,2017-09-08 02:00:00,
2263390,,2017-09-08 02:00:00,
2259933,,2017-09-08 02:00:00,
2251045,,2017-09-08 02:00:00,
2298442,,2017-09-16 02:00:00,
2298440,,2017-09-16 02:00:00,
2298439,,2017-09-16 02:00:00,
2298438,,2017-09-16 02:00:00,
2298437,,2017-09-16 02:00:00,
2286266,,2017-09-16 02:00:00,
2407360,,2017-09-24 02:00:00,
2406656,,2017-09-24 02:00:00,
2470496,,2017-10-08 02:00:00,
2560664,,2017-10-16 02:00:00,
2560656,,2017-10-16 02:00:00,
2560653,,2017-10-16 02:00:00,
2560631,,2017-10-16 02:00:00,
2744717,,2017-10-24 02:00:00,
2744715,,2017-10-24 02:00:00,
2744709,,2017-10-24 02:00:00,
2744706,,2017-10-24 02:00:00,
2744699,,2017-10-24 02:00:00,
2744693,,2017-10-24 02:00:00,
2735369,,2017-10-24 02:00:00,
2809216,,2017-11-08 02:00:00,
2809185,,2017-11-08 02:00:00,
2807754,,2017-11-08 02:00:00,
2807747,,2017-11-08 02:00:00,
2807734,,2017-11-08 02:00:00,
2807667,,2017-11-08 02:00:00,
2807549,,2017-11-08 02:00:00,
2807505,,2017-11-08 02:00:00,
2828234,,2017-11-16 02:00:00,
2828227,,2017-11-16 02:00:00,
2828224,,2017-11-16 02:00:00,
2827898,,2017-11-16 02:00:00,
2827768,,2017-11-16 02:00:00,
2945568,,2017-12-08 02:00:00,
2945565,,2017-12-08 02:00:00,
2945560,,2017-12-08 02:00:00,
2945554,,2017-12-08 02:00:00,
